year,north_america,europe,east_asia,south_asia,southeast_asia,latin_america,sub_saharan_africa,fsu_central_asia
0,50.6932,42.5999,35.4717,17.3717,22.2403,31.2619,6.1764,35.312
1,50.6692,42.5683,35.4597,17.3501,22.2106,31.2388,6.1672,35.2663
2,50.6477,42.5313,35.4487,17.319,22.1828,31.2131,6.1584,35.2247
3,50.6292,42.5,35.4393,17.2924,22.1587,31.1905,6.1505,35.1886
4,50.6129,42.4729,35.4311,17.2695,22.1376,31.1703,6.1432,35.1568
5,50.5983,42.4489,35.4237,17.2495,22.1187,31.1522,6.1366,35.1281
6,50.5848,42.4272,35.417,17.2316,22.1015,31.1355,6.1304,35.1018
7,50.5723,42.4072,35.4106,17.2154,22.0856,31.1201,6.1246,35.0773
8,50.5605,42.3885,35.4047,17.2004,22.0708,31.1057,6.1192,35.0543
9,50.5493,42.3709,35.399,17.1864,22.0569,31.0922,6.1141,35.0326
10,50.5386,42.3541,35.3936,17.1733,22.0438,31.0794,6.1092,35.0118
11,50.5283,42.3381,35.3884,17.1609,22.0314,31.0672,6.1045,34.992
12,50.5185,42.3227,35.3834,17.1492,22.0196,31.0556,6.1001,34.973
13,50.509,42.308,35.3786,17.138,22.0083,31.0445,6.0958,34.9547
14,50.4998,42.2937,35.3739,17.1274,21.9976,31.0339,6.0917,34.937
15,50.4909,42.28,35.3694,17.1173,21.9873,31.0237,6.0878,34.9199
16,50.4823,42.2668,35.365,17.1076,21.9774,31.014,6.084,34.9035
17,50.4739,42.254,35.3607,17.0983,21.9679,31.0046,6.0804,34.8876
18,50.4659,42.2417,35.3566,17.0895,21.9589,30.9956,6.077,34.8722
19,50.458,42.2297,35.3526,17.081,21.9502,30.9869,6.0736,34.8573
20,50.4504,42.2181,35.3487,17.0728,21.9418,30.9785,6.0704,34.8428
21,50.443,42.207,35.3449,17.0651,21.9338,30.9705,6.0673,34.8289
22,50.4359,42.1961,35.3412,17.0576,21.9261,30.9627,6.0643,34.8154
23,50.4289,42.1857,35.3376,17.0505,21.9186,30.9553,6.0614,34.8023
24,50.4222,42.1755,35.3341,17.0436,21.9115,30.9481,6.0587,34.7896
25,50.4156,42.1657,35.3308,17.037,21.9047,30.9411,6.056,34.7773
26,50.4092,42.1562,35.3274,17.0307,21.898,30.9344,6.0534,34.7654
27,50.403,42.147,35.3242,17.0246,21.8917,30.9279,6.0509,34.7538
28,50.397,42.138,35.3211,17.0188,21.8856,30.9217,6.0485,34.7426
29,50.3911,42.1294,35.318,17.0132,21.8797,30.9157,6.0462,34.7317
30,50.3854,42.121,35.3151,17.0078,21.874,30.9098,6.0439,34.7212
