year,North America,Europe,East Asia,South Asia,Southeast Asia,Latin America,Sub-Saharan Africa,Former Soviet Union & Central Asia
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.597,3.383,1.196,2.967,3.138,1.758,3.563,5.124
2,2.782,4.617,1.309,4.851,3.497,2.282,4.053,5.547
3,2.849,4.722,1.321,4.993,3.599,2.38,4.289,5.794
4,2.895,4.811,1.324,5.061,3.667,2.448,4.467,5.979
5,2.929,4.876,1.327,5.11,3.718,2.5,4.607,6.121
6,2.955,4.924,1.329,5.147,3.757,2.539,4.718,6.23
7,2.974,4.96,1.33,5.174,3.787,2.57,4.807,6.316
8,2.989,4.988,1.331,5.196,3.811,2.594,4.88,6.385
9,3.0,5.009,1.332,5.212,3.831,2.614,4.94,6.44
10,3.01,5.026,1.333,5.225,3.847,2.63,4.992,6.486
11,3.018,5.041,1.334,5.236,3.86,2.644,5.035,6.525
12,3.025,5.053,1.334,5.245,3.872,2.655,5.074,6.558
13,3.031,5.063,1.335,5.253,3.882,2.666,5.108,6.587
14,3.036,5.072,1.335,5.26,3.892,2.675,5.138,6.613
15,3.041,5.08,1.336,5.267,3.9,2.683,5.166,6.637
16,3.045,5.087,1.336,5.272,3.908,2.69,5.192,6.658
17,3.049,5.094,1.336,5.278,3.915,2.697,5.215,6.678
18,3.053,5.1,1.337,5.283,3.922,2.704,5.237,6.697
19,3.057,5.106,1.337,5.287,3.928,2.71,5.258,6.715
20,3.06,5.112,1.337,5.292,3.934,2.715,5.277,6.732
21,3.064,5.118,1.338,5.296,3.94,2.721,5.296,6.748
22,3.067,5.123,1.338,5.299,3.946,2.726,5.313,6.763
23,3.07,5.128,1.338,5.303,3.951,2.731,5.33,6.778
24,3.073,5.132,1.339,5.307,3.956,2.735,5.346,6.792
25,3.076,5.137,1.339,5.31,3.961,2.74,5.361,6.806
26,3.078,5.141,1.339,5.313,3.965,2.744,5.376,6.819
27,3.081,5.146,1.34,5.316,3.969,2.748,5.39,6.832
28,3.084,5.15,1.34,5.319,3.973,2.752,5.403,6.844
29,3.086,5.154,1.34,5.322,3.977,2.755,5.416,6.856
30,3.088,5.158,1.34,5.324,3.981,2.759,5.428,6.867
