soc_level,region,year,yield_tha,soc_total,n_mineralized
SOC_100pct,north_america,0,5.6040,51.12,83.40
SOC_100pct,north_america,1,5.5074,51.10,83.40
SOC_100pct,north_america,2,5.4999,51.07,83.08
SOC_100pct,north_america,3,5.4968,51.05,82.84
SOC_100pct,north_america,4,5.4944,51.03,82.67
SOC_100pct,north_america,5,5.4926,51.02,82.53
SOC_100pct,north_america,6,5.4910,51.00,82.43
SOC_100pct,north_america,7,5.4897,50.99,82.36
SOC_100pct,north_america,8,5.4885,50.97,82.29
SOC_100pct,north_america,9,5.4875,50.96,82.24
SOC_100pct,north_america,10,5.4865,50.95,82.20
SOC_100pct,north_america,11,5.4857,50.93,82.16
SOC_100pct,north_america,12,5.4848,50.92,82.13
SOC_100pct,north_america,13,5.4841,50.91,82.10
SOC_100pct,north_america,14,5.4833,50.90,82.07
SOC_100pct,north_america,15,5.4826,50.89,82.05
SOC_100pct,north_america,16,5.4819,50.88,82.02
SOC_100pct,north_america,17,5.4813,50.87,82.00
SOC_100pct,north_america,18,5.4806,50.86,81.98
SOC_100pct,north_america,19,5.4800,50.85,81.96
SOC_100pct,north_america,20,5.4794,50.84,81.94
SOC_100pct,north_america,21,5.4788,50.83,81.92
SOC_100pct,north_america,22,5.4782,50.82,81.90
SOC_100pct,north_america,23,5.4777,50.81,81.88
SOC_100pct,north_america,24,5.4771,50.80,81.87
SOC_100pct,north_america,25,5.4766,50.79,81.85
SOC_100pct,north_america,26,5.4761,50.78,81.83
SOC_100pct,north_america,27,5.4756,50.78,81.82
SOC_100pct,north_america,28,5.4751,50.77,81.80
SOC_100pct,north_america,29,5.4746,50.76,81.79
SOC_100pct,north_america,30,5.4741,50.75,81.77
SOC_100pct,europe,0,5.1147,43.04,58.58
SOC_100pct,europe,1,4.9881,43.01,58.58
SOC_100pct,europe,2,4.9400,42.97,58.27
SOC_100pct,europe,3,4.9353,42.94,57.93
SOC_100pct,europe,4,4.9313,42.91,57.68
SOC_100pct,europe,5,4.9282,42.88,57.50
SOC_100pct,europe,6,4.9257,42.86,57.36
SOC_100pct,europe,7,4.9236,42.84,57.26
SOC_100pct,europe,8,4.9218,42.81,57.17
SOC_100pct,europe,9,4.9202,42.79,57.11
SOC_100pct,europe,10,4.9188,42.78,57.05
SOC_100pct,europe,11,4.9175,42.76,57.00
SOC_100pct,europe,12,4.9164,42.74,56.96
SOC_100pct,europe,13,4.9153,42.72,56.92
SOC_100pct,europe,14,4.9142,42.70,56.89
SOC_100pct,europe,15,4.9132,42.69,56.86
SOC_100pct,europe,16,4.9123,42.67,56.83
SOC_100pct,europe,17,4.9114,42.66,56.80
SOC_100pct,europe,18,4.9105,42.64,56.78
SOC_100pct,europe,19,4.9097,42.63,56.75
SOC_100pct,europe,20,4.9088,42.61,56.73
SOC_100pct,europe,21,4.9081,42.60,56.70
SOC_100pct,europe,22,4.9073,42.59,56.68
SOC_100pct,europe,23,4.9065,42.57,56.66
SOC_100pct,europe,24,4.9058,42.56,56.64
SOC_100pct,europe,25,4.9051,42.55,56.62
SOC_100pct,europe,26,4.9044,42.54,56.60
SOC_100pct,europe,27,4.9037,42.52,56.58
SOC_100pct,europe,28,4.9031,42.51,56.56
SOC_100pct,europe,29,4.9024,42.50,56.54
SOC_100pct,europe,30,4.9018,42.49,56.53
