region,soc_pct_of_regional_mean,yield_change_pct,margin_change_pct,fert_change_pct
latin_america,10,-2.6311,-2.5309,-18.4743
latin_america,15,-2.5600,-2.4270,-18.4743
latin_america,20,-2.4911,-2.3267,-18.4743
latin_america,25,-2.4246,-2.2297,-18.4743
latin_america,30,-2.3602,-2.1359,-18.4743
latin_america,35,-2.2978,-2.0452,-18.4743
latin_america,40,-2.2375,-1.9575,-18.4743
latin_america,45,-2.1791,-1.8726,-18.4743
latin_america,50,-2.1225,-1.7905,-18.4743
latin_america,55,-2.0677,-1.7109,-18.4743
latin_america,60,-2.0145,-1.6338,-18.4743
latin_america,65,-1.9630,-1.5592,-18.4743
latin_america,70,-1.9131,-1.4868,-18.4743
latin_america,75,-1.8646,-1.4167,-18.4743
latin_america,80,-1.8176,-1.3487,-18.4743
latin_america,85,-1.7720,-1.2828,-18.4743
latin_america,90,-1.7277,-1.2189,-18.4743
latin_america,95,-1.6847,-1.1569,-18.4743
latin_america,100,-1.6430,-1.0967,-18.4743
latin_america,105,-1.6025,-1.0383,-18.4743
latin_america,110,-1.5631,-0.9816,-18.4743
latin_america,115,-1.5248,-0.9266,-18.4743
latin_america,120,-1.4876,-0.8732,-18.4743
latin_america,125,-1.4515,-0.8214,-18.4743
latin_america,130,-1.4163,-0.7710,-18.4743
latin_america,135,-1.3822,-0.7221,-18.4743
latin_america,140,-1.3489,-0.6746,-18.4743
latin_america,145,-1.3166,-0.6284,-18.4743
latin_america,150,-1.2852,-0.5835,-18.4743
latin_america,155,-1.2546,-0.5398,-18.4743
latin_america,160,-1.2248,-0.4973,-18.4743
latin_america,165,-1.1958,-0.4560,-18.4743
latin_america,170,-1.1676,-0.4158,-18.4743
latin_america,175,-1.1401,-0.3767,-18.4743
latin_america,180,-1.1134,-0.3387,-18.4743
latin_america,185,-1.0873,-0.3016,-18.4743
latin_america,190,-1.0620,-0.2656,-18.4743
latin_america,195,-1.0373,-0.2305,-18.4743
latin_america,200,-1.0132,-0.1963,-18.4743
north_america,10,-2.9524,-3.8500,-12.5565
north_america,15,-2.8420,-3.6824,-12.5565
north_america,20,-2.7365,-3.5223,-12.5565
north_america,25,-2.6355,-3.3693,-12.5565
north_america,30,-2.5389,-3.2229,-12.5565
north_america,35,-2.4464,-3.0828,-12.5565
north_america,40,-2.3578,-2.9487,-12.5565
north_america,45,-2.2729,-2.8203,-12.5565
north_america,50,-2.1915,-2.6972,-12.5565
north_america,55,-2.1135,-2.5793,-12.5565
north_america,60,-2.0386,-2.4662,-12.5565
north_america,65,-1.9667,-2.3578,-12.5565
north_america,70,-1.8976,-2.2537,-12.5565
north_america,75,-1.8313,-2.1539,-12.5565
north_america,80,-1.7676,-2.0581,-12.5565
north_america,85,-1.7064,-1.9661,-12.5565
north_america,90,-1.6475,-1.8778,-12.5565
north_america,95,-1.5909,-1.7929,-12.5565
north_america,100,-1.5365,-1.7114,-12.5565
north_america,105,-1.4841,-1.6332,-12.5565
north_america,110,-1.4337,-1.5581,-12.5565
north_america,115,-1.3851,-1.4860,-12.5565
north_america,120,-1.3384,-1.4166,-12.5565
north_america,125,-1.2933,-1.3500,-12.5565
north_america,130,-1.2500,-1.2859,-12.5565
north_america,135,-1.2082,-1.2243,-12.5565
north_america,140,-1.1679,-1.1650,-12.5565
north_america,145,-1.1291,-1.1079,-12.5565
north_america,150,-1.0917,-1.0529,-12.5565
north_america,155,-1.0556,-0.9999,-12.5565
north_america,160,-1.0207,-0.9488,-12.5565
