iso3,fao_area_code,m49_code,fao_name,region,historical,unmapped
KAZ,108,398,Kazakhstan,Central Asia,False,False
KGZ,113,417,Kyrgyzstan,Central Asia,False,False
TJK,208,762,Tajikistan,Central Asia,False,False
TKM,213,795,Turkmenistan,Central Asia,False,False
UZB,235,860,Uzbekistan,Central Asia,False,False
BRN,26,096,Brunei Darussalam,East & Southeast Asia,False,False
KHM,115,116,Cambodia,East & Southeast Asia,False,False
HKG,96,344,China; Hong Kong SAR,East & Southeast Asia,False,False
MAC,128,446,China; Macao SAR,East & Southeast Asia,False,False
TWN,214,158,China; Taiwan Province of,East & Southeast Asia,False,False
CHN,41,156,China; mainland,East & Southeast Asia,False,False
PRK,116,408,Democratic People's Republic of Korea,East & Southeast Asia,False,False
IDN,101,360,Indonesia,East & Southeast Asia,False,False
JPN,110,392,Japan,East & Southeast Asia,False,False
LAO,120,418,Lao People's Democratic Republic,East & Southeast Asia,False,False
MYS,131,458,Malaysia,East & Southeast Asia,False,False
MNG,141,496,Mongolia,East & Southeast Asia,False,False
MMR,28,104,Myanmar,East & Southeast Asia,False,False
PHL,171,608,Philippines,East & Southeast Asia,False,False
KOR,117,410,Republic of Korea,East & Southeast Asia,False,False
SGP,200,702,Singapore,East & Southeast Asia,False,False
THA,216,764,Thailand,East & Southeast Asia,False,False
TLS,176,626,Timor-Leste,East & Southeast Asia,False,False
VNM,237,704,Viet Nam,East & Southeast Asia,False,False
ALB,3,008,Albania,Europe,False,False
AND,6,020,Andorra,Europe,False,False
AUT,11,040,Austria,Europe,False,False
BLR,57,112,Belarus,Europe,False,False
BEL,255,056,Belgium,Europe,False,False
BIH,80,070,Bosnia and Herzegovina,Europe,False,False
BGR,27,100,Bulgaria,Europe,False,False
HRV,98,191,Croatia,Europe,False,False
CZE,167,203,Czechia,Europe,False,False
DNK,54,208,Denmark,Europe,False,False
EST,63,233,Estonia,Europe,False,False
FRO,64,234,Faroe Islands,Europe,False,False
FIN,67,246,Finland,Europe,False,False
FRA,68,250,France,Europe,False,False
DEU,79,276,Germany,Europe,False,False
GIB,82,292,Gibraltar,Europe,False,False
GRC,84,300,Greece,Europe,False,False
VAT,94,336,Holy See,Europe,False,False
HUN,97,348,Hungary,Europe,False,False
ISL,99,352,Iceland,Europe,False,False
IRL,104,372,Ireland,Europe,False,False
ITA,106,380,Italy,Europe,False,False
LVA,119,428,Latvia,Europe,False,False
LIE,125,438,Liechtenstein,Europe,False,False
LTU,126,440,Lithuania,Europe,False,False
LUX,256,442,Luxembourg,Europe,False,False
MLT,134,470,Malta,Europe,False,False
MCO,140,492,Monaco,Europe,False,False
MNE,273,499,Montenegro,Europe,False,False
NLD,150,528,Netherlands (Kingdom of the),Europe,False,False
MKD,154,807,North Macedonia,Europe,False,False
NOR,162,578,Norway,Europe,False,False
POL,173,616,Poland,Europe,False,False
PRT,174,620,Portugal,Europe,False,False
MDA,146,498,Republic of Moldova,Europe,False,False
ROU,183,642,Romania,Europe,False,False
RUS,185,643,Russian Federation,Europe,False,False
SMR,192,674,San Marino,Europe,False,False
SRB,272,688,Serbia,Europe,False,False
SVK,199,703,Slovakia,Europe,False,False
SVN,198,705,Slovenia,Europe,False,False
ESP,203,724,Spain,Europe,False,False
SJM,260,744,Svalbard and Jan Mayen Islands,Europe,False,False
SWE,210,752,Sweden,Europe,False,False
CHE,211,756,Switzerland,Europe,False,False
UKR,230,804,Ukraine,Europe,False,False
GBR,229,826,United Kingdom of Great Britain and Northern Ireland,Europe,False,False
AIA,258,660,Anguilla,Latin America & Caribbean,False,False
ATG,8,028,Antigua and Barbuda,Latin America & Caribbean,False,False
