iso3,country,cropland_Mha,buffer_cwm,buffer_pctile,soc_cwm,soc_pctile,n_intensity,import_reliance,exposure_pathway,exposure_class,class_phase1,class_phase2,class[n_stock_cwm_unweighted_low30],class[n_stock_cwm_cropland-weighted_low30],class[n_stock_cwm_unweighted_low33],class[n_stock_cwm_cropland-weighted_low33],class[n_stock_cwm_unweighted_low40],class[n_stock_cwm_cropland-weighted_low40],class[soc_only_cwm_unweighted_low30],class[soc_only_cwm_cropland-weighted_low30],class[soc_only_cwm_unweighted_low33],class[soc_only_cwm_cropland-weighted_low33],class[soc_only_cwm_unweighted_low40],class[soc_only_cwm_cropland-weighted_low40]
CHN,China; mainland,128.0813333333333,6.116925972251791,26.623376623376622,43.557493028652225,33.76623376623377,209.8173660486566,0.0,A (intensity),high,intermediate,low_buffer_high_exposure,low_buffer_high_exposure,intermediate,low_buffer_high_exposure,intermediate,low_buffer_high_exposure,intermediate,intermediate,intermediate,intermediate,intermediate,low_buffer_high_exposure,intermediate
BRA,Brazil,63.47,6.299217935175629,29.87012987012987,48.15969061548398,43.506493506493506,80.9650228454388,0.9234322655009096,B (reliance + stake),high,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,intermediate,low_buffer_high_exposure,intermediate,low_buffer_high_exposure,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate
AUS,Australia,31.074,4.099865020651884,10.38961038961039,35.13390630150887,16.883116883116884,48.85479822359529,0.7796030431509823,B (reliance + stake),high,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure
THA,Thailand,22.188374399999997,5.1135015487911515,17.532467532467532,45.33379513273772,37.01298701298701,62.11423942801325,0.909533251650843,B (reliance + stake),high,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,intermediate,intermediate,intermediate,intermediate,low_buffer_high_exposure,intermediate
ZAF,South Africa,12.413,4.515909441324311,16.883116883116884,36.322879562211085,20.12987012987013,43.81248153817235,0.7250438057438287,B (reliance + stake),high,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure
BGD,Bangladesh,8.7431,7.291343115997189,42.2077922077922,43.004046853770326,31.818181818181817,153.27134159127388,0.5309811132022929,A (intensity),high,low_buffer_high_exposure,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,low_buffer_high_exposure,intermediate,low_buffer_high_exposure,low_buffer_high_exposure
EGY,Egypt,3.9186666666666663,6.7033099792695685,35.714285714285715,45.34373399558789,37.66233766233766,334.7652262674379,0.0,A (intensity),high,low_buffer_high_exposure,intermediate,intermediate,intermediate,intermediate,intermediate,low_buffer_high_exposure,intermediate,intermediate,intermediate,intermediate,intermediate,low_buffer_high_exposure,intermediate
UZB,Uzbekistan,4.4311,5.857398212969289,24.025974025974026,36.299550283879064,19.480519480519483,173.2788698065943,0.0,A (intensity),high,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,intermediate,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure
PRY,Paraguay,4.4125203,6.415029150485236,31.818181818181817,45.88405727917214,38.961038961038966,30.017992211843197,1.0,B (reliance + stake),high,low_buffer_high_exposure,low_buffer_high_exposure,intermediate,intermediate,low_buffer_high_exposure,intermediate,low_buffer_high_exposure,intermediate,intermediate,intermediate,intermediate,intermediate,low_buffer_high_exposure,intermediate
ZMB,Zambia,3.839,3.659796464556352,7.142857142857142,35.20136179692804,17.532467532467532,44.05392029174264,1.0,B (reliance + stake),high,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure,low_buffer_high_exposure
