nue,region,year,yield_tha,soc_total
0.45,north_america,0,6.1656,53.54
0.45,north_america,1,5.3329,53.32
0.45,north_america,2,5.5357,53.2
0.45,north_america,3,5.5479,53.1
0.45,north_america,4,5.5402,53.0
0.45,north_america,5,5.5317,52.92
0.45,north_america,6,5.5242,52.84
0.45,north_america,7,5.5178,52.76
0.45,north_america,8,5.5122,52.69
0.45,north_america,9,5.5071,52.62
0.45,north_america,10,5.5025,52.56
0.45,north_america,11,5.4981,52.49
0.45,north_america,12,5.4941,52.43
0.45,north_america,13,5.4902,52.37
0.45,north_america,14,5.4865,52.32
0.45,north_america,15,5.4829,52.26
0.45,north_america,16,5.4795,52.21
0.45,north_america,17,5.4762,52.15
0.45,north_america,18,5.4729,52.1
0.45,north_america,19,5.4698,52.05
0.45,north_america,20,5.4667,52.01
0.45,north_america,21,5.4637,51.96
0.45,north_america,22,5.4608,51.91
0.45,north_america,23,5.458,51.87
0.45,north_america,24,5.4552,51.83
0.45,north_america,25,5.4525,51.78
0.45,north_america,26,5.4499,51.74
0.45,north_america,27,5.4473,51.7
0.45,north_america,28,5.4449,51.67
0.45,north_america,29,5.4424,51.63
0.45,north_america,30,5.4401,51.59
0.45,europe,0,5.4416,44.32
0.45,europe,1,4.8309,44.17
0.45,europe,2,4.9588,44.08
0.45,europe,3,4.9524,44.01
0.45,europe,4,4.9442,43.94
0.45,europe,5,4.9375,43.87
0.45,europe,6,4.9321,43.81
0.45,europe,7,4.9276,43.76
0.45,europe,8,4.9238,43.7
0.45,europe,9,4.9204,43.65
0.45,europe,10,4.9174,43.61
0.45,europe,11,4.9146,43.56
0.45,europe,12,4.912,43.51
0.45,europe,13,4.9096,43.47
0.45,europe,14,4.9073,43.43
0.45,europe,15,4.9051,43.39
0.45,europe,16,4.903,43.35
0.45,europe,17,4.9009,43.31
0.45,europe,18,4.8989,43.27
0.45,europe,19,4.897,43.24
0.45,europe,20,4.8951,43.2
0.45,europe,21,4.8933,43.17
0.45,europe,22,4.8915,43.14
0.45,europe,23,4.8898,43.11
0.45,europe,24,4.8881,43.07
0.45,europe,25,4.8865,43.04
0.45,europe,26,4.8849,43.02
0.45,europe,27,4.8833,42.99
0.45,europe,28,4.8818,42.96
0.45,europe,29,4.8803,42.93
0.45,europe,30,4.8789,42.91
0.45,east_asia,0,6.0865,35.7
0.45,east_asia,1,5.6414,35.63
0.45,east_asia,2,5.7659,35.58
0.45,east_asia,3,5.7834,35.55
0.45,east_asia,4,5.7848,35.52
0.45,east_asia,5,5.7834,35.5
0.45,east_asia,6,5.7816,35.47
0.45,east_asia,7,5.7799,35.45
0.45,east_asia,8,5.7782,35.43
0.45,east_asia,9,5.7766,35.41
0.45,east_asia,10,5.7752,35.39
0.45,east_asia,11,5.7738,35.37
0.45,east_asia,12,5.7724,35.35
0.45,east_asia,13,5.7711,35.33
0.45,east_asia,14,5.7699,35.31
0.45,east_asia,15,5.7687,35.3
0.45,east_asia,16,5.7675,35.28
0.45,east_asia,17,5.7664,35.26
0.45,east_asia,18,5.7653,35.25
0.45,east_asia,19,5.7642,35.23
0.45,east_asia,20,5.7632,35.22
0.45,east_asia,21,5.7622,35.2
0.45,east_asia,22,5.7612,35.19
0.45,east_asia,23,5.7602,35.18
0.45,east_asia,24,5.7593,35.16
