id,country,lat,lon,elev,SOC_pct,A_control,B_gain,C_base,ceiling,k_perkgN,citation
Ken_Vih_i-mBean_1986-91_N,Kenya,0.08,34.72,1575,17,0.5,0.14,0.9,0.64,0.10536051565782628,B. O. Mochoge. FERTILIZER TRIAL RESULTS OF MAIZE AND MAIZE-B
Ken_Mau_i-mBean_1986-91_N,Kenya,-0.17,35.62,2320,25,0.22,0.06,0.95,0.28,0.05129329438755058,B. O. Mochoge. FERTILIZER TRIAL RESULTS OF MAIZE AND MAIZE-B
Ken_Ol _i-mBean_1986-91_N,Kenya,-0.072,36.38,2390,27,0.6,0,0.0001,0.6,9.210340371976182,B. O. Mochoge. FERTILIZER TRIAL RESULTS OF MAIZE AND MAIZE-B
Ken_Mum_i-mBean_1989_N,Kenya,0.341,34.4827,1310,-9,0.18,0.09,0.94,0.27,0.06187540371808753,FURP
Ken_Mum_i-mBean_1991_N,Kenya,0.343,34.482,1270,-9,0.39,0.11,0.97,0.5,0.030459207484708574,FURP
Ken_Ota_i-mBean_1986-91_N,Kenya,-0.7166,34.7618,1770,30,0.863,0.03,0.95,0.893,0.05129329438755058,B. O. Mochoge. FERTILIZER TRIAL RESULTS OF MAIZE AND MAIZE-B
Ken_Vih_i-mBean_1986-91_N,Kenya,0.08,34.72,1575,17,0.496,0.067,0.974,0.563,0.026343975339601977,B. O. Mochoge. FERTILIZER TRIAL RESULTS OF MAIZE AND MAIZE-B
Ken_Vih_i-mBean_1989_N,Kenya,0.09263,34.7231,1600,-9,2.36,0,0.0001,2.36,9.210340371976182,FURP
Ken_Vih_i-mBean_1990_N,Kenya,0.09189,34.7185,1600,-9,2.63,0.63,0.83,3.26,0.18632957819149348,FURP
Ken_Vih_i-mBean_1988_N,Kenya,0.0759,34.72,1620,-9,2.43,0.43,0.81,2.8600000000000003,0.21072103131565253,FURP
Ken_Bar_i-mBean_1989_N,Kenya,0.2326,35.096,2000,-9,0.83,0.02,0.88,0.85,0.12783337150988489,FURP
Ken_Bar_i-mBean_1991_N,Kenya,0.2326,35.096,2000,-9,0.31,0.1,0.85,0.41000000000000003,0.16251892949777494,FURP
Ken_Vih_i-mBean_1988_N,Kenya,0.0759,34.72,1620,-9,2.57,0,0.0001,2.57,9.210340371976182,FURP
Ken_Vih_i-mBean_1990_N,Kenya,0.09189,34.7185,1600,-9,0.53,0,0.0001,0.53,9.210340371976182,FURP
Ken_Mum_i-mBean_1988_N,Kenya,0.343,34.482,1270,-9,0.1,0.07,0.928,0.17,0.07472354619593642,FURP
Ken_Mum_i-mBean_1988_N,Kenya,0.343,34.482,1270,-9,0.16,0.07,0.88,0.23,0.12783337150988489,FURP
Ken_Vih_i-mBean_1989_N,Kenya,0.09263,34.7231,1600,-9,0.57,0,0.0001,0.57,9.210340371976182,FURP
