year,S3_global,SC1_global,SC2_global,PULSE1_global,S3_North_America,S3_Europe,S3_East_Asia,S3_South_Asia,S3_Southeast_Asia,S3_Latin_America,S3_Sub-Saharan_Africa,S3_Former_Soviet_Union_&_Central_Asia
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.317,2.731,2.59,2.317,1.573,2.545,1.096,2.918,3.132,1.69,3.502,4.452
2,2.883,3.393,3.068,0.481,1.677,3.415,1.192,4.738,3.481,2.19,3.981,4.821
3,2.968,3.501,2.991,0.073,1.711,3.469,1.202,4.865,3.583,2.279,4.216,5.007
4,3.028,3.575,2.877,0.05,1.733,3.522,1.205,4.935,3.652,2.339,4.394,5.144
5,3.073,3.631,2.743,0.038,1.75,3.561,1.207,4.986,3.704,2.385,4.534,5.247
6,3.107,3.673,2.594,0.029,1.762,3.589,1.208,5.023,3.743,2.419,4.645,5.326
7,3.133,3.706,2.435,0.022,1.772,3.61,1.21,5.051,3.773,2.446,4.735,5.388
8,3.154,3.732,2.27,0.018,1.779,3.626,1.211,5.073,3.797,2.468,4.808,5.436
9,3.171,3.753,2.099,0.014,1.784,3.638,1.211,5.09,3.817,2.485,4.869,5.475
10,3.185,3.77,1.925,0.012,1.789,3.648,1.212,5.103,3.833,2.499,4.921,5.507
11,3.196,3.785,1.749,0.01,1.793,3.657,1.212,5.114,3.847,2.511,4.965,5.534
12,3.206,3.797,1.572,0.009,1.796,3.664,1.213,5.124,3.858,2.521,5.004,5.558
13,3.215,3.808,1.394,0.008,1.799,3.669,1.213,5.132,3.869,2.53,5.038,5.578
14,3.223,3.818,1.216,0.007,1.802,3.675,1.214,5.139,3.878,2.537,5.069,5.596
15,3.23,3.826,1.037,0.006,1.804,3.679,1.214,5.145,3.887,2.545,5.097,5.612
16,3.236,3.834,0.859,0.006,1.806,3.684,1.215,5.151,3.895,2.551,5.123,5.628
17,3.242,3.842,0.68,0.006,1.808,3.688,1.215,5.157,3.902,2.557,5.147,5.642
18,3.248,3.849,0.502,0.005,1.81,3.692,1.215,5.162,3.909,2.563,5.169,5.655
19,3.253,3.855,0.325,0.005,1.812,3.695,1.216,5.166,3.915,2.568,5.19,5.667
20,3.258,3.862,0.141,0.005,1.813,3.698,1.216,5.171,3.921,2.573,5.21,5.679
21,3.263,3.868,0.098,0.005,1.815,3.702,1.216,5.175,3.927,2.577,5.228,5.69
22,3.268,3.873,0.083,0.005,1.817,3.705,1.216,5.179,3.933,2.582,5.246,5.701
23,3.272,3.879,0.073,0.005,1.818,3.708,1.217,5.183,3.938,2.586,5.263,5.711
24,3.276,3.884,0.064,0.004,1.82,3.71,1.217,5.186,3.943,2.59,5.279,5.721
25,3.28,3.889,0.058,0.004,1.821,3.713,1.217,5.19,3.948,2.594,5.294,5.731
26,3.284,3.893,0.053,0.004,1.822,3.716,1.217,5.193,3.952,2.597,5.309,5.74
27,3.287,3.898,0.049,0.004,1.824,3.718,1.218,5.196,3.956,2.601,5.323,5.749
28,3.291,3.902,0.046,0.004,1.825,3.721,1.218,5.199,3.961,2.604,5.337,5.758
29,3.294,3.906,0.043,0.004,1.826,3.723,1.218,5.202,3.965,2.607,5.35,5.766
30,3.297,3.91,0.041,0.004,1.827,3.725,1.218,5.204,3.968,2.61,5.362,5.774
