year,north_america,europe,east_asia,south_asia,southeast_asia,latin_america,sub_saharan_africa,fsu_central_asia
0,50.6937,42.5999,35.4714,17.3717,22.2387,31.2618,6.1764,35.3121
1,50.6698,42.5681,35.4594,17.35,22.2089,31.2386,6.1672,35.2666
2,50.6485,42.5314,35.4484,17.319,22.1813,31.213,6.1584,35.2255
3,50.6302,42.5003,35.439,17.2925,22.1573,31.1905,6.1505,35.1899
4,50.614,42.4735,35.4308,17.2698,22.1362,31.1704,6.1433,35.1583
5,50.5994,42.4496,35.4234,17.2499,22.1174,31.1524,6.1366,35.1299
6,50.586,42.4281,35.4166,17.2321,22.1002,31.1358,6.1305,35.1037
7,50.5735,42.4081,35.4103,17.2159,22.0844,31.1204,6.1247,35.0794
8,50.5618,42.3895,35.4043,17.201,22.0696,31.1061,6.1193,35.0566
9,50.5507,42.372,35.3987,17.187,22.0558,31.0926,6.1141,35.035
10,50.54,42.3553,35.3932,17.174,22.0427,31.0798,6.1092,35.0144
11,50.5298,42.3393,35.388,17.1616,22.0303,31.0677,6.1046,34.9946
12,50.52,42.3241,35.383,17.1499,22.0185,31.0561,6.1001,34.9757
13,50.5105,42.3094,35.3782,17.1388,22.0073,31.045,6.0959,34.9575
14,50.5014,42.2952,35.3735,17.1282,21.9965,31.0345,6.0918,34.9399
15,50.4925,42.2815,35.369,17.1181,21.9863,31.0243,6.0879,34.923
16,50.484,42.2684,35.3646,17.1084,21.9764,31.0146,6.0842,34.9066
17,50.4757,42.2556,35.3603,17.0992,21.967,31.0052,6.0805,34.8908
18,50.4676,42.2433,35.3561,17.0903,21.9579,30.9962,6.0771,34.8755
19,50.4598,42.2314,35.3521,17.0819,21.9492,30.9876,6.0737,34.8606
20,50.4523,42.2199,35.3482,17.0738,21.9409,30.9792,6.0705,34.8463
21,50.4449,42.2088,35.3444,17.066,21.9329,30.9712,6.0674,34.8324
22,50.4378,42.198,35.3407,17.0586,21.9252,30.9635,6.0644,34.819
23,50.4309,42.1875,35.3371,17.0514,21.9178,30.956,6.0616,34.8059
24,50.4241,42.1774,35.3336,17.0446,21.9106,30.9489,6.0588,34.7933
25,50.4176,42.1676,35.3302,17.038,21.9038,30.9419,6.0561,34.7811
26,50.4112,42.1582,35.3269,17.0317,21.8972,30.9352,6.0535,34.7692
27,50.4051,42.149,35.3237,17.0257,21.8908,30.9288,6.051,34.7577
28,50.3991,42.1401,35.3206,17.0198,21.8847,30.9226,6.0486,34.7466
29,50.3932,42.1314,35.3175,17.0143,21.8788,30.9165,6.0463,34.7357
30,50.3876,42.1231,35.3145,17.0089,21.8732,30.9107,6.0441,34.7253
