scenario,region,year,yield_tha,soc_total,fert_applied_kgha
SC1_20pct,north_america,0,5.604,51.12,76.0
SC1_20pct,north_america,1,5.4204,51.07,60.47
SC1_20pct,north_america,2,5.4079,51.03,60.48
SC1_20pct,north_america,3,5.4024,50.99,60.46
SC1_20pct,north_america,4,5.3983,50.96,60.45
SC1_20pct,north_america,5,5.395,50.93,60.44
SC1_20pct,north_america,6,5.3925,50.9,60.43
SC1_20pct,north_america,7,5.3903,50.87,60.42
SC1_20pct,north_america,8,5.3885,50.85,60.42
SC1_20pct,north_america,9,5.3869,50.82,60.42
SC1_20pct,north_america,10,5.3855,50.8,60.41
SC1_20pct,north_america,11,5.3842,50.78,60.41
SC1_20pct,north_america,12,5.3831,50.76,60.41
SC1_20pct,north_america,13,5.3819,50.73,60.41
SC1_20pct,north_america,14,5.3809,50.71,60.41
SC1_20pct,north_america,15,5.3799,50.69,60.41
SC1_20pct,north_america,16,5.3789,50.68,60.4
SC1_20pct,north_america,17,5.378,50.66,60.4
SC1_20pct,north_america,18,5.3771,50.64,60.4
SC1_20pct,north_america,19,5.3762,50.62,60.4
SC1_20pct,north_america,20,5.3753,50.6,60.4
SC1_20pct,north_america,21,5.3745,50.59,60.4
SC1_20pct,north_america,22,5.3736,50.57,60.4
SC1_20pct,north_america,23,5.3728,50.56,60.4
SC1_20pct,north_america,24,5.3721,50.54,60.4
SC1_20pct,north_america,25,5.3713,50.53,60.4
SC1_20pct,north_america,26,5.3706,50.51,60.4
SC1_20pct,north_america,27,5.3698,50.5,60.39
SC1_20pct,north_america,28,5.3691,50.48,60.39
SC1_20pct,north_america,29,5.3684,50.47,60.39
SC1_20pct,north_america,30,5.3677,50.46,60.39
SC1_20pct,europe,0,5.1147,43.04,85.0
SC1_20pct,europe,1,4.9231,42.99,67.58
SC1_20pct,europe,2,4.8583,42.94,67.59
SC1_20pct,europe,3,4.8516,42.89,67.57
SC1_20pct,europe,4,4.8458,42.85,67.56
SC1_20pct,europe,5,4.8415,42.81,67.55
