Descriptor                              yr1     yr10
SOC stock                             -0.61    -0.61
Soil N buffer ratio                   +0.40    +0.19
Baseline water deficit                +0.69    +0.70
Calibrated yield ceiling y_max        -0.81    -0.90
BNF potential                         -0.30    -0.28
Synthetic N rate                      -0.55    -0.38
|Fertilizer-demand elasticity|        +0.58    +0.54
|Food-demand elasticity|              +0.51    +0.51
Land-response coefficient lambda_L    +0.53    +0.47

All descriptors including the region-specific land-response coefficient are reproduced.
