test_family,case,region,horizon_year,low_soc_loss_pct,high_soc_loss_pct,monotone_pass,domain_pass
one-at-a-time MC prior bound,MC_central,north_america,1,2.18047,1.08614,True,True
one-at-a-time MC prior bound,MC_central,europe,1,2.766,2.22119,True,True
one-at-a-time MC prior bound,MC_central,east_asia,1,1.41346,0.797314,True,True
one-at-a-time MC prior bound,MC_central,south_asia,1,2.98397,2.70433,True,True
one-at-a-time MC prior bound,MC_central,southeast_asia,1,4.79146,1.98581,True,True
one-at-a-time MC prior bound,MC_central,latin_america,1,2.12614,1.28736,True,True
one-at-a-time MC prior bound,MC_central,sub_saharan_africa,1,4.10229,2.90341,True,True
one-at-a-time MC prior bound,MC_central,fsu_central_asia,1,5.32264,3.57075,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_lo,north_america,1,2.24062,1.22483,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_lo,europe,1,2.77741,2.29106,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_lo,east_asia,1,1.46816,0.891367,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_lo,south_asia,1,3.13201,2.88182,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_lo,southeast_asia,1,4.83271,2.25679,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_lo,latin_america,1,2.15749,1.42874,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_lo,sub_saharan_africa,1,3.88955,2.88517,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_lo,fsu_central_asia,1,5.23344,3.70554,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_hi,north_america,1,2.14563,0.995162,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_hi,europe,1,2.77318,2.15855,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_hi,east_asia,1,1.38516,0.739783,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_hi,south_asia,1,2.89693,2.59102,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_hi,southeast_asia,1,4.78555,1.80078,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_hi,latin_america,1,2.13043,1.18492,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_hi,sub_saharan_africa,1,4.2904,2.92361,True,True
one-at-a-time MC prior bound,MC_max_uptake_frac_hi,fsu_central_asia,1,5.39199,3.46949,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_lo,north_america,1,3.19802,1.96275,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_lo,europe,1,3.88462,3.33145,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_lo,east_asia,1,3.10511,2.07942,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_lo,south_asia,1,4.614,4.30682,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_lo,southeast_asia,1,6.8588,3.70042,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_lo,latin_america,1,3.14587,2.21385,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_lo,sub_saharan_africa,1,5.01056,3.93451,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_lo,fsu_central_asia,1,6.76388,5.1153,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_hi,north_america,1,1.46937,0.594678,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_hi,europe,1,1.9474,1.4647,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_hi,east_asia,1,0.603903,0.286953,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_hi,south_asia,1,1.89441,1.66695,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_hi,southeast_asia,1,3.35057,1.06736,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_hi,latin_america,1,1.45576,0.758462,True,True
one-at-a-time MC prior bound,MC_mitscherlich_c_mult_hi,sub_saharan_africa,1,3.35889,2.14216,True,True
