leaf,verdict,state_fields_moved,published_fields_moved,worst_field,worst_delta,caught_by,not_probed,note
alpha,COVERED,8,24,regions[7].loss_yr30,0.0009491097551439509,test_wp1_registry_wiring.py,False,
atm_n_deposition,COVERED,8,43,regions[6].buffer_ratio_pct,0.5,test_spinup_partition_independence.py;test_wp1_registry_wiring.py,False,
baseline_water_deficit,COVERED,8,32,regions[6].water_deficit,1.5,test_spinup_partition_independence.py;test_wp1_registry_wiring.py,False,
cm2_per_ha,COVERED,1,16,regions[7].loss_yr30,0.002342839125080154,test_wp1_registry_wiring.py;test_dimensional_consistency_sol.py,False,
cn_bulk,COVERED,8,43,regions[4].buffer_ratio_pct,2.3999999999999986,test_spinup_partition_independence.py;test_wp1_registry_wiring.py,False,
cre_regional,COVERED,8,43,regions[6].buffer_ratio_pct,2.4000000000000057,test_spinup_partition_independence.py;test_wp1_registry_wiring.py,False,
cropland_mha,COVERED,8,8,regions[6].cropland_mha,23.00000000000003,test_wp1_registry_wiring.py,False,
eps_F_PF,COVERED,8,8,regions[6].eps_F_PF,0.050000000000000044,test_seam_contracts.py;test_wp1_registry_wiring.py,False,
eps_F_PY,COVERED,8,27,regions[7].loss_yr30,0.029367392361678846,test_wp1_registry_wiring.py,False,
eps_LD_PL,COVERED,8,24,regions[7].loss_yr30,0.00034448541830212065,test_wp1_registry_wiring.py,False,
eps_LD_PY,COVERED,8,24,regions[7].loss_yr30,0.0009491097551439509,test_wp1_registry_wiring.py,False,
eps_LS_PL,COVERED,8,24,regions[7].loss_yr30,0.00033564382401252146,test_wp1_registry_wiring.py,False,
eta,COVERED,8,34,regions[6].eta,0.07000000000000006,test_wp1_registry_wiring.py,False,
faostat_yield_target,COVERED,8,51,regions[6].buffer_ratio_pct,2.4000000000000057,test_wp1_registry_wiring.py,False,
g_per_t,COVERED,1,16,regions[7].loss_yr30,0.002578607898351848,test_wp1_registry_wiring.py;test_dimensional_consistency_sol.py,False,
laub_tropical_ratios.k_passive_ratio,COVERED,1,16,regions[6].loss_yr30,0.0001979949078583232,test_wp1_registry_wiring.py,False,
laub_tropical_ratios.k_slow_ratio,COVERED,1,16,regions[6].loss_yr30,0.02627110132298327,test_wp1_registry_wiring.py,False,
pct_to_fraction,COVERED,1,16,regions[7].loss_yr30,0.002342839125080154,test_wp1_registry_wiring.py;test_dimensional_consistency_sol.py,False,
physical_feedback_strength,COVERED,1,16,regions[7].loss_yr30,0.002578607898351848,test_wp1_registry_wiring.py,False,
residue_c_to_active_fraction,COVERED,0,43,regions[5].buffer_ratio_pct,0.7000000000000028,test_spinup_partition_independence.py;test_wp1_registry_wiring.py,False,
residue_retention,COVERED,8,43,regions[0].buffer_ratio_pct,1.3000000000000043,test_spinup_partition_independence.py;test_wp1_registry_wiring.py,False,
root_shoot_c_ratio,COVERED,8,43,regions[6].buffer_ratio_pct,1.5,test_spinup_partition_independence.py;test_wp1_registry_wiring.py,False,
