country_id,iso3,ne_name,n_pixels_cropland,cropped_ha_total,soc_stock_cwm_t_ha,n_stock_cwm_t_ha,buffer_proxy_cwm_t_ha,c_to_n_ratio_cwm,n_pixels,soc_stock_median_allland_t_ha,n_stock_median_allland_t_ha,c_to_n_ratio_median_allland,n_stock_mean_allland_t_ha,enough_pixels,buffer_proxy_t_ha
168,FRO,Faroe Islands,2,10.106806755065918,89.59045835651041,34.981746983205404,34.981746983205404,2.561063013791805,28,90.0,34.007027,2.6465118,33.25123197382147,False,34.981746983205404
207,BHS,The Bahamas,166,3459.291610624641,67.39216023949477,26.094263479688536,26.094263479688536,2.5826427441399917,278,68.0,24.419674,2.78464,25.874788761138916,True,26.094263479688536
199,BTN,Bhutan,1507,124406.69829691947,61.57819671056328,19.26127442088177,19.26127442088177,3.1969949321631788,1536,64.0,13.19105,4.8517747,17.662327192441943,True,19.26127442088177
67,KNA,Saint Kitts and Nevis,3,895.2527618408203,69.71110727602064,19.05251797365611,19.05251797365611,3.6588920883008798,7,72.0,18.894798,3.8105726,18.74731508890788,False,19.05251797365611
118,LVA,Latvia,2420,909139.0365999341,63.711861693214864,16.91785667772727,16.91785667772727,3.7659535074022075,2492,65.0,15.687975,4.143301,16.85000457506133,True,16.91785667772727
203,BLR,Belarus,7954,5925017.062220812,48.12800373078848,16.631191045165043,16.631191045165043,2.8938398699220085,8125,48.0,15.98255,3.0032754,16.91817594640914,True,16.631191045165043
145,GHA,Ghana,8856,4590119.4055622015,36.946070111514516,16.44605149959735,16.44605149959735,2.2465009374693414,9205,35.0,6.661975,5.2536974,11.97416441280545,True,16.44605149959735
214,ATG,Antigua and Barbuda,9,1340.7595872879028,61.2081707630535,16.4160414604766,16.4160414604766,3.7285584902072046,9,63.0,18.07275,3.4859111,18.778188705444336,True,16.4160414604766
216,AND,Andorra,16,414.3351582288742,75.47452944207703,16.401885341026635,16.401885341026635,4.601576457389922,19,77.0,15.791999,4.875887,15.34278412869102,True,16.401885341026635
112,LTU,Lithuania,2404,2256810.349807345,53.12470016506787,15.503117487457725,15.503117487457725,3.4267108023948487,2483,51.0,14.4615,3.5266051,15.525377049061085,True,15.503117487457725
26,MSR,Montserrat,1,58.97028350830078,83.99999556312355,15.328199397802118,15.328199397802118,5.480095436073734,1,84.0,15.328199,5.480096,15.32819938659668,False,15.328199397802118
22,CYM,Cayman Islands,1,56.35909652709961,74.00000175982468,15.22180011247987,15.22180011247987,4.861448791405061,1,74.0,15.2218,4.861449,15.221799850463867,False,15.22180011247987
58,SYC,Seychelles,4,49.08059358596802,83.74820451948045,15.11981837270795,15.11981837270795,5.538968951548404,4,83.0,15.474299,5.3637323,15.452787160873411,False,15.11981837270795
130,IRL,Ireland,2376,536829.0308726714,83.30669041647427,15.026442152087597,15.026442152087597,5.544006330527191,2558,93.0,17.09375,5.440585,18.561172640727655,True,15.026442152087597
66,LCA,Saint Lucia,18,16967.078674316406,71.83999523593923,14.91061824304842,14.91061824304842,4.818042690445263,18,72.0,14.890399,4.8353305,15.13249683380127,True,14.91061824304842
113,LIE,Liechtenstein,3,2667.6533813476562,65.82503334867982,14.777224696193384,14.777224696193384,4.454492281330497,6,75.0,16.525051,4.5385637,16.84210033416748,False,14.777224696193384
43,CHE,Switzerland,1197,336063.0265679827,80.34426315230425,14.734328226155217,14.734328226155217,5.452862317108116,1493,81.0,15.176325,5.3372607,15.398927547778303,True,14.734328226155217
27,GBR,United Kingdom,7074,5046333.639238909,71.67885093971721,14.236197924284008,14.236197924284008,5.034971508611012,8654,81.0,15.14045,5.3499074,19.0686466817244,True,14.236197924284008
204,BRB,Barbados,9,6650.482421875,60.92303145807933,13.930680912774479,13.930680912774479,4.373298896123068,13,59.0,13.71895,4.3006206,13.860672526889378,True,13.930680912774479
82,NOR,Norway,3897,432400.57891132677,82.04460115194722,13.815620387130622,13.815620387130622,5.938539048769212,11862,87.0,15.778801,5.5137267,17.293079953664392,True,13.815620387130622
62,STP,São Tomé and Principe,32,16768.492212295532,73.67801819669062,13.61327733884748,13.61327733884748,5.412217525785624,35,71.0,12.24525,5.7981668,12.929105702568505,True,13.61327733884748
44,SWE,Sweden,4046,1900339.009783107,82.87977008581964,13.565081136264965,13.565081136264965,6.109788010353171,16005,79.0,12.55925,6.2901845,13.04038900717057,True,13.565081136264965
90,NLD,Netherlands,960,596735.4697551727,64.5553927650793,13.500428611517817,13.500428611517817,4.781729130436957,1135,67.0,12.285299,5.4536724,13.794038468871374,True,13.500428611517817
158,EST,Estonia,1587,717372.1439646184,77.57203586463055,13.491980169713443,13.491980169713443,5.749492282738665,1657,85.0,13.968474,6.085131,14.20193616914453,True,13.491980169713443
29,UKR,Ukraine,20091,23945098.622457344,60.23815043131133,13.478282071599628,13.478282071599628,4.4692750983629,21345,59.0,13.13805,4.4907727,13.607382113848557,True,13.478282071599628
97,MNE,Montenegro,517,336841.64496067166,84.33468793715132,13.353764736371843,13.353764736371843,6.315424122116492,529,84.0,13.159025,6.3834515,13.353121531926668,True,13.353764736371843
165,DMA,Dominica,7,7000.078044891357,77.45453917614687,13.29893000858359,13.29893000858359,5.824118115228445,25,72.0,13.566774,5.307083,14.477886069904674,True,13.29893000858359
46,SUR,Suriname,3209,54716.47910176734,55.22158862972449,13.059587959487628,13.059587959487628,4.2284326887669295,5696,46.0,6.3398,7.2557497,6.963994142458215,True,13.059587959487628
100,MCO,Monaco,1,121.65216827392578,73.00000094072239,12.94499928599171,12.94499928599171,5.639243334661173,1,73.0,12.945,5.639243,12.94499969482422,False,12.94499928599171
155,FIN,Finland,3834,1775515.5797080155,88.29999496135264,12.899026923558797,12.899026923558797,6.845477219687125,11807,78.0,12.41085,6.2848234,12.9526927862296,True,12.899026923558797
55,SVN,Slovenia,695,169672.9737306,71.40979022491236,12.502505319079768,12.502505319079768,5.711638459848173,791,86.0,12.65455,6.7959747,12.8778689863153,True,12.502505319079768
69,RUS,Russia,165502,76772627.41942035,69.09234122347121,12.454127031988364,12.454127031988364,5.5477466261591735,645002,71.0,13.0047,5.4595647,13.33858317479827,True,12.454127031988364
197,BIH,Bosnia and Herzegovina,1996,622611.8746923901,72.20799205620084,12.314969409180353,12.314969409180353,5.863432515096014,2049,75.0,12.22435,6.1352954,12.495389104538305,True,12.314969409180353
13,VIR,United States Virgin Islands,1,10.56969165802002,66.11089110462063,12.163799650369368,12.163799650369368,5.435052615538032,6,65.5,12.163799,5.384831,12.163799285888672,False,12.163799650369368
126,JPN,Japan,12102,2659196.6066684294,81.94725531113875,12.14428649779087,12.14428649779087,6.747803201616292,13182,83.0,12.526325,6.626045,12.038547007965205,True,12.14428649779087
143,GRD,Grenada,7,7380.959899902344,69.23160322526381,12.03415886924734,12.03415886924734,5.752924153443041,8,69.5,12.26195,5.6679406,12.480157034737724,True,12.03415886924734
34,TTO,Trinidad and Tobago,159,44265.52907752991,61.4736318207695,11.913185859226346,11.913185859226346,5.160133699514167,182,66.0,12.547649,5.259949,12.734545426866028,True,11.913185859226346
146,DEU,Germany,11960,10556119.40158797,54.72963367366409,11.617316676488048,11.617316676488048,4.711039149378601,13044,57.0,11.2046995,5.087151,11.820117430848116,True,11.617316676488048
65,VCT,Saint Vincent and the Grenadines,10,9805.461181640625,74.48117447189036,11.616147022661483,11.616147022661483,6.411865683740742,11,73.0,10.821699,6.745706,11.871829509735107,True,11.616147022661483
124,KAZ,Kazakhstan,47513,14850900.144189226,54.93205395829566,11.539891742025665,11.539891742025665,4.760187979775027,105591,43.0,8.977875,4.789552,9.375773251764391,True,11.539891742025665
139,GUY,Guyana,6207,129859.32059479257,53.26018465474835,11.448688192072694,11.448688192072694,4.652077492304034,8419,49.0,6.14835,7.9696183,7.27264224016319,True,11.448688192072694
98,MNG,Mongolia,29181,302174.2469110724,58.828845700554396,11.423562343643358,11.423562343643358,5.149781121760999,61879,34.0,7.9236994,4.290925,8.600457826965416,True,11.423562343643358
73,POL,Poland,11475,11416274.604672529,41.57430682651582,11.319778602422065,11.319778602422065,3.6727137770716003,11942,42.0,10.783901,3.8946943,11.865504943017424,True,11.319778602422065
53,SLB,Solomon Islands,852,49284.25522544794,70.97020128364724,11.291149988143538,11.291149988143538,6.285471485027716,886,69.0,11.237551,6.140128,11.278441914704626,True,11.291149988143538
172,CUB,Cuba,3728,2044440.8243654817,61.09299401847089,11.255514853918676,11.255514853918676,5.427827585976753,4025,62.0,10.595099,5.851762,12.085533584999393,True,11.255514853918676
187,CAN,Canada,70891,32937481.154070213,62.360745312921736,11.135856483285371,11.135856483285371,5.599995420785422,333270,65.0,12.0751,5.3829784,13.039338548893769,True,11.135856483285371
127,JAM,Jamaica,382,153422.2882270813,71.27743017657743,11.064590299167268,11.064590299167268,6.441940302294052,408,72.0,10.784425,6.676295,11.330596680442492,True,11.064590299167268
209,AUT,Austria,2255,1190371.9257620184,55.42025911321816,11.062783263658332,11.062783263658332,5.009612661876496,3230,76.0,13.516799,5.622633,13.869992875640076,True,11.062783263658332
16,PRI,Puerto Rico,240,50049.431522369385,74.25292336363758,10.95742722706048,10.95742722706048,6.776492494539451,285,72.0,10.607475,6.787666,10.903688148657482,True,10.95742722706048
12,MNP,Northern Mariana Islands,4,766.7237179279327,57.96416844302303,10.873237938031755,10.873237938031755,5.33090223660787,8,61.0,12.303551,4.957918,12.931910133361816,False,10.873237938031755
173,HRV,Croatia,1939,1068233.2209562282,59.803956833306415,10.833799360036556,10.833799360036556,5.520127782125053,2065,60.0,11.495474,5.2194457,11.54763966414808,True,10.833799360036556
48,LKA,Sri Lanka,2398,1508168.4344803095,61.04097181180044,10.826665160186405,10.826665160186405,5.638021579929371,2483,57.0,10.9145,5.2224107,11.06616968135039,True,10.826665160186405
147,GEO,Georgia,2478,637417.0666301101,63.25122670413582,10.716121960808465,10.716121960808465,5.902436248435895,2695,74.0,12.132199,6.099471,12.513202186414963,True,10.716121960808465
169,DNK,Denmark,1314,2007688.239659369,56.46127215663275,10.66774790242579,10.66774790242579,5.292707764850138,1428,57.0,10.288025,5.540422,10.92648124912558,True,10.66774790242579
183,CHL,Chile,17601,1480060.3187873748,83.47659356506263,10.624709915611843,10.624709915611843,7.856835078612636,25982,60.0,10.702825,5.6059966,12.174463835265067,True,10.624709915611843
202,BEL,Belgium,978,356740.1105260551,52.36365374186693,10.591898528847347,10.591898528847347,4.943745788278936,1065,56.0,10.8647995,5.1542597,11.077117069992518,True,10.591898528847347
99,MDA,Moldova,1144,1504441.02053833,60.07551723403985,10.590542523785913,10.590542523785913,5.6725627699537355,1210,60.0,10.415199,5.7608113,10.630065193959885,True,10.590542523785913
164,DOM,Dominican Republic,1782,807109.8821949586,63.93904106992349,10.47813222900407,10.47813222900407,6.1021410755761,1839,65.0,10.2672,6.3308396,11.008867610147965,True,10.47813222900407
218,ALB,Albania,1046,397467.18383455276,59.7441288722754,10.429773957655645,10.429773957655645,5.728228542136535,1076,61.0,10.495049,5.812264,10.720013016268584,True,10.429773957655645
14,GUM,Guam,13,5606.396682739258,58.09264973640083,10.321130196835094,10.321130196835094,5.62851631832089,16,57.5,10.114201,5.685076,10.467350079463078,True,10.321130196835094
150,FRA,France,22536,16430731.608386917,50.793366829324796,10.286872989992757,10.286872989992757,4.937687757857751,24317,55.0,10.30945,5.334911,10.572804579115944,True,10.286872989992757
201,BLZ,Belize,727,73787.63439427808,58.68037526308306,10.256321327079593,10.256321327079593,5.721386196057474,880,64.0,10.6648245,6.0010366,10.941818249646357,True,10.256321327079593
111,LUX,Luxembourg,96,31809.89308166504,63.832511710956965,10.255040965254228,10.255040965254228,6.224500899336439,95,64.0,10.3386,6.190393,10.401980439821878,True,10.255040965254228
178,COM,Comoros,44,39545.60962677002,68.31523095035193,10.25060971818104,10.25060971818104,6.664504144488529,45,71.0,10.3243,6.87698,10.317143037584092,True,10.25060971818104
54,SVK,Slovakia,1706,1263782.4230139642,51.715114785365294,10.21203308040702,10.21203308040702,5.0641350628394255,1855,55.0,10.8631,5.0630116,11.132970337101916,True,10.21203308040702
170,CZE,Czechia,2778,2344332.2395466194,50.5222098022486,10.096843520482011,10.096843520482011,5.0037627798986355,2979,51.0,10.23305,4.983851,10.63364624200394,True,10.096843520482011
63,SMR,San Marino,1,808.8414916992188,44.492820703089464,10.011449541539168,10.011449541539168,4.444193672303032,2,44.5,10.01145,4.4449105,10.011449813842772,False,10.011449541539168
136,HUN,Hungary,3329,4410877.850367069,48.783028139838606,9.888769078953608,9.888769078953608,4.933174973583329,3507,47.0,9.793325,4.799187,10.029803539765243,True,9.888769078953608
194,BRN,Brunei,209,9134.727127313614,64.49491337377471,9.823562341635755,9.823562341635755,6.5653284552816755,204,62.5,9.337275,6.693602,9.62300781976609,True,9.823562341635755
179,COL,Colombia,30274,3389113.270780278,74.74984884972564,9.816283152792186,9.816283152792186,7.61488311677964,44711,54.0,7.2978,7.3994904,8.42419820521952,True,9.816283152792186
86,NIC,Nicaragua,3505,485972.307031621,61.88631698858998,9.816266373294042,9.816266373294042,6.304465937981959,4733,60.0,11.107949,5.401537,11.311069300150187,True,9.816266373294042
59,SRB,Republic of Serbia,2902,2603323.103556333,50.33242660968215,9.752719518818058,9.752719518818058,5.1608606719966446,3006,51.0,9.6748,5.2714267,10.014053750289795,True,9.752719518818058
163,ECU,Ecuador,8754,1999678.3152911633,68.32832868747555,9.724819999655482,9.724819999655482,7.026179270145483,9636,63.0,9.05895,6.954448,10.136544097808033,True,9.724819999655482
212,ARM,Armenia,1077,370506.10503196716,55.90749702077131,9.442043518706388,9.442043518706388,5.9211225737318935,1103,60.0,10.1804,5.893678,9.87164387159374,True,9.442043518706388
75,PER,Peru,33343,1880753.3072319636,62.19692421703516,9.424950224196868,9.424950224196868,6.599178004925238,50821,55.0,7.3006496,7.533576,8.066074184233832,True,9.424950224196868
87,NZL,New Zealand,8472,607601.7252965897,95.16729139547195,9.419118650276387,9.419118650276387,10.103630172731654,10026,105.0,10.004299,10.495488,11.335945760199207,True,9.419118650276387
17,USA,United States of America,286769,124756283.79032008,54.05629323256293,9.364585678135484,9.364585678135484,5.772416964348357,353980,47.0,7.6849995,6.1158104,9.51179638340352,True,9.364585678135484
7,VUT,Vanuatu,264,70553.7302699089,72.59455515075764,9.326636252536508,9.326636252536508,7.7835731109396,363,70.0,8.7237,8.024118,9.176992081924224,True,9.326636252536508
137,HND,Honduras,4134,727500.7093821401,65.07015668561502,9.297619307635276,9.297619307635276,6.998582597609573,4401,67.0,9.839951,6.808977,10.06350433074976,True,9.297619307635276
57,SLE,Sierra Leone,2424,417322.31806455366,53.899980223036714,9.226188061373568,9.226188061373568,5.842063901633958,2827,53.0,8.876625,5.970738,9.12762388214469,True,9.226188061373568
77,PNG,Papua New Guinea,17651,774860.2649569027,72.26393562905054,9.222486169033202,9.222486169033202,7.835624180353312,17949,67.0,9.70035,6.9069676,9.904806541391531,True,9.222486169033202
