iso3,fao_area_code,fao_name,region,cropland_ha,n_use_t,n_prod_t,n_imp_t,n_exp_t,apparent_consumption_t,net_imports_t,n_intensity_raw,n_intensity_scaled,import_reliance,exposure_combined,exposure_class,reexport_flag,data_missing_n_use,data_missing_trade,data_missing_cropland
KAZ,108,Kazakhstan,Central Asia,29691833.333333332,69982.66666666667,145692.20666666667,143991.15666666665,89790.39,199892.97333333327,54200.76666666665,2.3569668427345345,0.007856556142448448,0.27114893416630353,0.139502745154376,low,False,False,False,False
KGZ,113,Kyrgyzstan,Central Asia,1364366.6666666667,25219.0,0.0,56189.81666666667,4011.75,52178.06666666667,52178.06666666667,18.48403410617869,0.06161344702059563,1.0,0.5308067235102978,moderate,False,False,False,False
TJK,208,Tajikistan,Central Asia,1040266.6666666666,49738.666666666664,0.0,43495.03666666667,86.48,43408.556666666664,43408.556666666664,47.813381184311716,0.15937793728103905,1.0,0.5796889686405196,moderate,False,False,False,False
TKM,213,Turkmenistan,Central Asia,1653806.0666666667,420442.3333333333,622627.6666666666,24526.069999999996,286158.48333333334,360995.25333333324,0.0,254.2271078862088,0.8474236929540294,0.0,0.4237118464770147,moderate,False,False,False,False
UZB,235,Uzbekistan,Central Asia,4431100.0,767816.0,868487.0,42792.27,142691.18999999997,768588.0800000001,0.0,173.2788698065943,0.5775962326886476,0.0,0.2887981163443238,low,False,False,False,False
BRN,26,Brunei Darussalam,East & Southeast Asia,10000.0,243.0,0.0,2277.3,102.25333333333333,2175.046666666667,2175.046666666667,24.3,0.081,1.0,0.5405,moderate,False,False,False,False
CHN,41,China; mainland,East & Southeast Asia,128081333.33333333,26873688.0,32332143.61,296783.0133333333,5752740.936666667,26876185.686666664,0.0,209.8173660486566,0.6993912201621887,0.0,0.34969561008109434,moderate,False,False,False,False
HKG,96,China; Hong Kong SAR,East & Southeast Asia,3666.6666666666665,733.6666666666666,0.0,10855.613333333333,394.41,10461.203333333333,10461.203333333333,200.0909090909091,0.666969696969697,1.0,0.8334848484848485,high,False,False,False,False
IDN,101,Indonesia,East & Southeast Asia,42901789.6,3235452.0,4150938.22,443776.58,880530.0966666667,3714184.703333333,0.0,75.41531554198848,0.2513843851399616,0.0,0.1256921925699808,low,False,False,False,False
JPN,110,Japan,East & Southeast Asia,4396333.333333333,360566.6666666667,531925.8233333334,297876.9666666667,99591.40333333334,730211.3866666667,198285.56333333335,82.01531579346427,0.27338438597821424,0.2715454277404311,0.2724649068593227,low,False,False,False,False
KHM,115,Cambodia,East & Southeast Asia,4454948.100000001,116694.33333333333,0.0,116695.04333333333,0.75,116694.29333333333,116694.29333333333,26.194319375647343,0.08731439791882448,1.0,0.5436571989594122,moderate,False,False,False,False
KOR,117,Republic of Korea,East & Southeast Asia,1580666.6666666667,219023.0,391667.3333333333,421044.72,279236.0966666667,533475.9566666665,141808.6233333333,138.5636862083509,0.46187895402783635,0.2658200834755521,0.36384951875169425,moderate,False,False,False,False
LAO,120,Lao People's Democratic Republic,East & Southeast Asia,1586533.3333333333,37003.333333333336,0.0,37002.24,1242.09,35760.15,35760.15,23.323388520043704,0.07774462840014568,1.0,0.5388723142000729,moderate,False,False,False,False
MAC,128,China; Macao SAR,East & Southeast Asia,,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,True
MMR,28,Myanmar,East & Southeast Asia,12530233.333333334,365729.3333333333,57181.9,305674.2733333334,0.18000000000000002,362855.9933333334,305674.0933333334,29.187751225702097,0.09729250408567366,0.842411587377391,0.46985204573153233,moderate,False,False,False,False
MNG,141,Mongolia,East & Southeast Asia,1192366.6666666667,27887.666666666668,0.0,43279.61666666667,0.0,43279.61666666667,43279.61666666667,23.38849906348718,0.07796166354495727,1.0,0.5389808317724787,moderate,False,False,False,False
MYS,131,Malaysia,East & Southeast Asia,8285309.999999999,332756.3333333333,819066.6666666666,461721.49333333335,948373.02,332415.1399999999,0.0,40.16220676514619,0.1338740225504873,0.0,0.06693701127524365,low,True,False,False,False
PHL,171,Philippines,East & Southeast Asia,11136000.0,703232.6666666666,61662.80000000001,694742.8633333333,8603.550000000001,747802.1133333333,686139.3133333332,63.1494851532567,0.210498283844189,0.9175412867915849,0.564019785317887,moderate,False,False,False,False
PRK,116,Democratic People's Republic of Korea,East & Southeast Asia,2546500.0,92522.0,29166.666666666668,55884.43666666667,45.080000000000005,85006.02333333333,55839.35666666667,36.33300608678579,0.12111002028928596,0.6568870590229156,0.38899853965610076,moderate,False,False,False,False
SGP,200,Singapore,East & Southeast Asia,660.0,44.0,0.0,8449.596666666666,12046.07,-3596.4733333333334,0.0,66.66666666666667,0.22222222222222224,,,data_missing,True,False,False,False
THA,216,Thailand,East & Southeast Asia,22188374.400000002,1378214.0,130466.66666666667,1471514.18,159830.34333333335,1442150.5033333334,1311683.8366666667,62.11423942801325,0.20704746476004415,0.909533251650843,0.5582903582054436,moderate,False,False,False,False
TLS,176,Timor-Leste,East & Southeast Asia,191633.33333333334,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
TWN,214,China; Taiwan Province of,East & Southeast Asia,790333.3333333334,140502.33333333334,108204.56333333334,109043.69,78040.53666666667,139207.71666666667,31003.153333333335,177.7760438633488,0.5925868128778293,0.22271145648894225,0.4076491346833858,moderate,False,False,False,False
VNM,237,Viet Nam,East & Southeast Asia,11654166.666666666,1572827.0,1065762.3733333333,545622.4733333333,205071.50333333333,1406313.3433333333,340550.97,134.95834107972829,0.44986113693242763,0.24215867083562218,0.3460099038840249,moderate,False,False,False,False
ALB,3,Albania,Europe,693185.0,31892.666666666668,0.0,34555.57,277.4766666666667,34278.09333333333,34278.09333333333,46.008881707865385,0.15336293902621795,1.0,0.576681469513109,moderate,False,False,False,False
AND,6,Andorra,Europe,803.8000000000001,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
AUT,11,Austria,Europe,1393035.1333333335,109015.33333333333,0.0,174894.87,6848.826666666667,168046.04333333333,168046.04333333333,78.25741844175549,0.2608580614725183,1.0,0.6304290307362591,moderate,False,False,False,False
BEL,255,Belgium,Europe,881149.6,151867.33333333334,796880.9433333334,581849.0633333334,1226363.91,152366.0966666669,0.0,172.3513616000431,0.5745045386668104,0.0,0.2872522693334052,low,True,False,False,False
BGR,27,Bulgaria,Europe,3634666.6666666665,352050.0,654516.3333333334,260016.68000000002,216711.09333333335,697821.92,43305.58666666667,96.85895084372707,0.3228631694790902,0.06205822062262915,0.1924606950508597,low,False,False,False,False
BIH,80,Bosnia and Herzegovina,Europe,1124000.0,57686.666666666664,21310.059999999998,30091.626666666667,2923.796666666667,48477.88999999999,27167.83,51.3226571767497,0.171075523922499,0.5604169240864239,0.36574622400446144,moderate,False,False,False,False
BLR,57,Belarus,Europe,5801000.0,424659.0,939031.6666666666,63146.23,512704.49666666664,489473.39999999997,0.0,73.20444750905017,0.24401482503016722,0.0,0.12200741251508361,low,False,False,False,False
CHE,211,Switzerland,Europe,424069.93333333335,41942.333333333336,0.0,77487.73,1482.756666666667,76004.97333333333,76004.97333333333,98.90428449772986,0.3296809483257662,1.0,0.664840474162883,high,False,False,False,False
CZE,167,Czechia,Europe,2533027.6666666665,323082.6666666667,113140.36666666665,357088.45333333337,147146.15,323082.67000000004,209942.30333333337,127.54802125466982,0.4251600708488994,0.6498098561997564,0.537484963524328,moderate,False,False,False,False
DEU,79,Germany,Europe,11901666.666666666,1326615.0,1467746.1966666665,988253.8266666667,1129368.09,1326631.9333333333,0.0,111.46464080660972,0.37154880268869905,0.0,0.18577440134434953,low,False,False,False,False
DNK,54,Denmark,Europe,2412220.0,227700.66666666666,0.0,240639.63999999998,38445.816666666666,202193.8233333333,202193.8233333333,94.39465167632582,0.3146488389210861,1.0,0.657324419460543,moderate,False,False,False,False
ESP,203,Spain,Europe,16725521.866666667,1034681.3333333334,742314.6666666666,850464.86,327025.9066666667,1265753.6199999999,523438.9533333333,61.86242447809142,0.20620808159363807,0.41353936900716376,0.3098737253004009,low,False,False,False,False
EST,63,Estonia,Europe,695333.3333333334,40597.0,263.98,201665.56333333332,134751.04,67178.50333333333,66914.52333333332,58.3849472674976,0.19461649089165867,0.9960704691694281,0.5953434800305434,moderate,True,False,False,False
FIN,67,Finland,Europe,2248666.6666666665,141499.66666666666,265366.5533333333,67898.20666666667,25842.553333333333,307422.2066666666,42055.653333333335,62.9260302401423,0.20975343413380768,0.13680096109300804,0.17327719761340787,low,False,False,False,False
FRA,68,France,Europe,18708959.7,2094902.0,302737.1866666667,1940651.8466666667,317282.55333333334,1926106.48,1623369.2933333335,111.97319538830372,0.37324398462767905,0.8428242727958287,0.6080341287117539,moderate,False,False,False,False
FRO,64,Faroe Islands,Europe,67.33333333333333,270.6666666666667,0.0,1463.2333333333333,0.0,1463.2333333333333,1463.2333333333333,4019.8019801980204,1.0,1.0,1.0,high,False,False,False,False
GBR,229,United Kingdom of Great Britain and Northern Ireland,Europe,6079697.133333333,1012666.6666666666,296500.0,1019617.8933333334,111003.35666666667,1205114.5366666669,908614.5366666667,166.5653147612386,0.5552177158707953,0.7539652946016934,0.6545915052362443,moderate,False,False,False,False
GIB,82,Gibraltar,Europe,,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,True
GRC,84,Greece,Europe,3084713.6333333333,190709.66666666666,65790.54,194773.36,105695.04333333333,154868.85666666663,89078.31666666665,61.824107303142526,0.20608035767714175,0.5751854735932813,0.3906329156352115,moderate,False,False,False,False
HRV,98,Croatia,Europe,913666.6666666666,98494.0,355142.23,45528.556666666664,273615.62666666665,127055.15999999997,0.0,107.80080262677855,0.35933600875592847,0.0,0.17966800437796424,low,False,False,False,False
HUN,97,Hungary,Europe,4389711.899999999,428443.3333333333,497095.4266666667,354451.41,159179.03333333333,692367.8033333333,195272.37666666665,97.6016975814138,0.325338991938046,0.28203561131316035,0.3036873016256032,low,False,False,False,False
IRL,104,Ireland,Europe,447000.0,385126.0,0.0,373330.1566666667,6111.836666666667,367218.32,367218.32,861.579418344519,1.0,1.0,1.0,high,False,False,False,False
ISL,99,Iceland,Europe,121000.0,11177.333333333334,0.0,9431.443333333335,0.0,9431.443333333335,9431.443333333335,92.37465564738292,0.30791551882460977,1.0,0.6539577594123049,moderate,False,False,False,False
ITA,106,Italy,Europe,9291213.333333334,589280.3333333334,529833.0666666667,595306.7033333333,152096.27000000002,973043.5,443210.43333333323,63.423399312038185,0.2114113310401273,0.4554888176462134,0.33345007434317037,moderate,False,False,False,False
LIE,125,Liechtenstein,Europe,1733.3333333333333,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
LTU,126,Lithuania,Europe,2227600.0,174605.0,829485.7600000001,294515.6666666667,926963.6533333333,197037.77333333343,0.0,78.38256419464895,0.2612752139821632,0.0,0.1306376069910816,low,True,False,False,False
LUX,256,Luxembourg,Europe,63625.333333333336,12248.333333333334,0.0,30408.846666666668,9621.956666666667,20786.89,20786.89,192.50717743456485,0.6416905914485495,1.0,0.8208452957242747,high,False,False,False,False
LVA,119,Latvia,Europe,1324666.6666666667,79868.0,0.0,162110.53,41076.15,121034.38,121034.38,60.29290387518872,0.20097634625062907,1.0,0.6004881731253146,moderate,False,False,False,False
MCO,140,Monaco,Europe,,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,True
MDA,146,Republic of Moldova,Europe,1989233.3333333333,55382.333333333336,0.0,72308.65000000001,9.736666666666666,72298.91333333334,72298.91333333334,27.841044288419326,0.09280348096139775,1.0,0.5464017404806989,moderate,False,False,False,False
MKD,154,North Macedonia,Europe,458666.6666666667,19656.333333333332,0.0,20160.096666666668,503.8166666666666,19656.280000000002,19656.280000000002,42.85537790697674,0.14285125968992246,1.0,0.5714256298449613,moderate,False,False,False,False
