iso3,fao_name,region,cropland_Mha,pastures_ha_lu,agland_ha_lu,n_use_t,n_intensity_raw,n_intensity_alt,import_reliance,buffer_proxy_t_ha,exposure_class_base,exposure_class_alt,panel_c_base,panel_c_alt
KAZ,Kazakhstan,Central Asia,29.69183333333333,185028033.33333334,214719866.6666667,69982.66666666667,2.3569668427345345,0.3259254383540973,0.2711489341663035,11.539891742025665,low,low,high_buffer_low_exposure,high_buffer_low_exposure
KGZ,Kyrgyzstan,Central Asia,1.3643666666666667,9004633.333333334,10369000.0,25219.0,18.48403410617869,2.4321535345742116,1.0,7.99257315886893,moderate,moderate,intermediate,intermediate
TJK,Tajikistan,Central Asia,1.040266666666667,2820166.6666666665,3860433.333333333,49738.66666666666,47.81338118431171,12.884218524690663,1.0,7.151999359126016,high,moderate,intermediate,intermediate
TKM,Turkmenistan,Central Asia,1.653806066666667,37746585.6,39400391.66666667,420442.3333333333,254.2271078862088,10.671019133270036,0.0,5.306456260295281,high,low,low_buffer_high_exposure,low_buffer_low_exposure
UZB,Uzbekistan,Central Asia,4.4311,21154933.333333332,25586033.333333332,767816.0,173.2788698065943,30.009184698422708,0.0,5.857398212969289,high,low,low_buffer_high_exposure,low_buffer_low_exposure
BRN,Brunei Darussalam,East & Southeast Asia,0.01,3400.0,13400.0,243.0,24.3,18.134328358208954,1.0,9.823562341635755,moderate,moderate,data_missing,data_missing
CHN,China; mainland,East & Southeast Asia,128.0813333333333,392833000.0,520914333.3333333,26873688.0,209.8173660486566,51.589457767527996,0.0,6.116925972251791,high,moderate,low_buffer_high_exposure,intermediate
HKG,China; Hong Kong SAR,East & Southeast Asia,0.0036666666666666,1000.0,4666.666666666666,733.6666666666666,200.0909090909091,157.21428571428572,1.0,7.05168657597986,high,high,data_missing,data_missing
IDN,Indonesia,East & Southeast Asia,42.9017896,11000000.0,53901789.6,3235452.0,75.41531554198848,60.02494581367294,0.0,7.993584352896216,moderate,moderate,intermediate,intermediate
JPN,Japan,East & Southeast Asia,4.396333333333333,318000.0,4714333.333333333,360566.6666666667,82.01531579346427,76.4830658276179,0.2715454277404311,12.14428649779087,moderate,moderate,intermediate,intermediate
KHM,Cambodia,East & Southeast Asia,4.4549481,1500000.0,5954948.100000001,116694.33333333331,26.194319375647343,19.596196536680697,1.0,7.595520955112737,high,moderate,intermediate,intermediate
KOR,Republic of Korea,East & Southeast Asia,1.5806666666666669,56000.0,1636666.6666666667,219023.0,138.5636862083509,133.82260692464357,0.2658200834755521,7.96561600492296,moderate,moderate,intermediate,intermediate
LAO,Lao People's Democratic Republic,East & Southeast Asia,1.5865333333333334,677000.0,2263533.333333333,37003.333333333336,23.323388520043704,16.347598150384357,1.0,7.685400751740469,moderate,moderate,intermediate,intermediate
MAC,China; Macao SAR,East & Southeast Asia,,,,,,,,,data_missing,data_missing,data_missing,data_missing
MMR,Myanmar,East & Southeast Asia,12.530233333333332,480000.0,13010233.333333334,365729.3333333333,29.187751225702097,28.110897319289684,0.842411587377391,7.798250768866862,high,high,intermediate,intermediate
MNG,Mongolia,East & Southeast Asia,1.1923666666666668,111831455.63333333,113023822.3,27887.666666666668,23.38849906348718,0.2467414930689941,1.0,11.423562343643358,moderate,moderate,intermediate,intermediate
MYS,Malaysia,East & Southeast Asia,8.285309999999999,285000.0,8570310.0,332756.3333333333,40.16220676514619,38.82663909862459,0.0,8.566397905075181,low,low,intermediate,intermediate
PHL,Philippines,East & Southeast Asia,11.136,1500000.0,12636000.0,703232.6666666666,63.1494851532567,55.65310752347789,0.9175412867915848,8.73319625192385,high,high,intermediate,intermediate
PRK,Democratic People's Republic of Korea,East & Southeast Asia,2.5465,50000.0,2596500.0,92522.0,36.33300608678579,35.633352590025034,0.6568870590229156,8.945235987203903,moderate,moderate,intermediate,intermediate
SGP,Singapore,East & Southeast Asia,0.00066,0.0,660.0,44.0,66.66666666666667,66.66666666666667,,6.820054126991158,data_missing,data_missing,data_missing,data_missing
THA,Thailand,East & Southeast Asia,22.1883744,800000.0,22988374.400000002,1378214.0,62.11423942801325,59.95265154546986,0.909533251650843,5.113501548791152,high,high,low_buffer_high_exposure,low_buffer_high_exposure
TLS,Timor-Leste,East & Southeast Asia,0.1916333333333333,150000.0,341633.3333333334,,,,,7.008039105443645,data_missing,data_missing,data_missing,data_missing
TWN,China; Taiwan Province of,East & Southeast Asia,0.7903333333333333,0.0,790333.3333333334,140502.33333333334,177.7760438633488,177.7760438633488,0.2227114564889422,8.205760135159784,high,high,intermediate,intermediate
VNM,Viet Nam,East & Southeast Asia,11.654166666666669,642000.0,12296166.666666666,1572827.0,134.95834107972829,127.91197798771975,0.2421586708356221,8.393479991429416,moderate,moderate,intermediate,intermediate
ALB,Albania,Europe,0.693185,478027.0,1171212.0,31892.666666666668,46.008881707865385,27.23048147275358,1.0,10.429773957655645,high,high,high_buffer_high_exposure,high_buffer_high_exposure
AND,Andorra,Europe,0.0008038,18000.0,18803.8,,,,,16.401885341026635,data_missing,data_missing,data_missing,data_missing
AUT,Austria,Europe,1.3930351333333335,1242533.3,2635568.4333333336,109015.33333333331,78.25741844175549,41.36311998374341,1.0,11.062783263658332,high,high,high_buffer_high_exposure,high_buffer_high_exposure
BEL,Belgium,Europe,0.8811496,477194.39999999997,1358344.0,151867.33333333334,172.3513616000431,111.80329381462526,0.0,10.591898528847349,high,moderate,high_buffer_high_exposure,intermediate
BGR,Bulgaria,Europe,3.6346666666666665,1403666.6666666667,5038333.333333333,352050.0,96.85895084372709,69.87429705590473,0.0620582206226291,8.604988121400005,moderate,moderate,intermediate,intermediate
BIH,Bosnia and Herzegovina,Europe,1.124,1099000.0,2223000.0,57686.66666666666,51.3226571767497,25.949917528864894,0.5604169240864239,12.314969409180351,moderate,moderate,intermediate,intermediate
BLR,Belarus,Europe,5.801,2573000.0,8374000.0,424659.0,73.20444750905017,50.71160735610222,0.0,16.631191045165043,moderate,moderate,intermediate,intermediate
CHE,Switzerland,Europe,0.4240699333333333,1081438.5,1505508.4333333333,41942.333333333336,98.90428449772986,27.859248347396615,1.0,14.734328226155217,high,high,high_buffer_high_exposure,high_buffer_high_exposure
CZE,Czechia,Europe,2.5330276666666665,990482.3333333334,3523510.0,323082.6666666667,127.54802125466982,91.69341556194439,0.6498098561997564,10.096843520482013,moderate,moderate,intermediate,intermediate
DEU,Germany,Europe,11.901666666666666,4731333.333333333,16633000.0,1326615.0,111.46464080660972,79.75801118258883,0.0,11.617316676488048,moderate,moderate,intermediate,intermediate
DNK,Denmark,Europe,2.41222,214030.66666666666,2626250.6666666665,227700.66666666663,94.39465167632582,86.70180251897762,1.0,10.66774790242579,high,high,high_buffer_high_exposure,high_buffer_high_exposure
ESP,Spain,Europe,16.725521866666668,9452029.0,26177550.866666667,1034681.3333333334,61.86242447809142,39.525520878687345,0.4135393690071637,6.661439100963047,moderate,moderate,intermediate,intermediate
EST,Estonia,Europe,0.6953333333333334,291000.0,986333.3333333334,40597.0,58.3849472674976,41.15951334910442,0.996070469169428,13.491980169713443,high,high,high_buffer_high_exposure,high_buffer_high_exposure
FIN,Finland,Europe,2.2486666666666664,23333.333333333332,2272000.0,141499.66666666666,62.9260302401423,62.27978286384976,0.136800961093008,12.899026923558797,moderate,moderate,intermediate,intermediate
FRA,France,Europe,18.7089597,9823575.333333334,28532535.03333333,2094902.0,111.97319538830372,73.42151678960934,0.8428242727958287,10.286872989992755,high,high,high_buffer_high_exposure,high_buffer_high_exposure
FRO,Faroe Islands,Europe,6.733333333333333e-05,96179.33333333333,96246.66666666666,270.6666666666667,4019.801980198021,2.812218604973333,1.0,34.981746983205404,high,moderate,data_missing,data_missing
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,6.079697133333333,11297454.800000003,17377151.933333337,1012666.6666666666,166.5653147612386,58.27575603595554,0.7539652946016934,14.236197924284008,high,high,high_buffer_high_exposure,high_buffer_high_exposure
GIB,Gibraltar,Europe,,,,,,,,,data_missing,data_missing,data_missing,data_missing
GRC,Greece,Europe,3.084713633333333,2725925.4,5810639.033333333,190709.66666666663,61.824107303142526,32.82077333880849,0.5751854735932813,7.620635611788597,moderate,moderate,intermediate,intermediate
HRV,Croatia,Europe,0.9136666666666666,584000.0,1497666.6666666665,98494.0,107.80080262677856,65.76496772757623,0.0,10.833799360036556,moderate,moderate,intermediate,intermediate
HUN,Hungary,Europe,4.389711899999999,773845.6333333333,5163557.533333333,428443.3333333333,97.6016975814138,82.97444747492759,0.2820356113131603,9.888769078953608,moderate,moderate,intermediate,intermediate
IRL,Ireland,Europe,0.447,4070333.3333333335,4517333.333333334,385126.0,861.579418344519,85.25516528925618,1.0,15.026442152087595,high,high,high_buffer_high_exposure,high_buffer_high_exposure
